,node,in_degree_weighted,in_degree,out_degree_weighted,out_degree
0,0,1,1,1,1
1,1,-3,17,2,4
2,2,-1,17,-10,16
3,3,38,110,-105,109
4,4,19,31,-8,12
5,5,20,40,37,37
6,6,31,49,-2,20
7,7,8,26,10,10
8,8,9,23,-11,11
9,9,22,42,-1,1
10,10,15,47,0,0
11,11,227,421,0,0
12,12,30,30,44,44
13,13,20,26,5,5
14,14,5,5,-6,6
15,15,-3,7,8,8
16,16,-3,9,0,0
17,17,0,2,4,4
18,18,15,21,-11,17
19,19,0,0,1,1
20,20,2,22,8,8
21,21,1,1,-20,20
22,22,4,30,-6,8
23,23,-4,30,3,3
24,24,-6,12,1,1
25,25,4,10,5,5
26,26,2,6,0,0
27,27,-53,61,-31,31
28,28,1,17,8,8
29,29,0,42,4,6
30,30,-6,24,-1,1
31,31,-3,5,0,0
32,32,-1,3,0,0
33,33,27,65,-6,10
34,34,-3,3,0,0
35,35,-116,116,1,1
36,36,-15,19,-7,7
37,37,-98,102,1,1
38,38,-68,78,0,0
39,39,0,2,0,0
40,40,27,67,43,55
41,41,-41,63,0,0
42,42,0,0,2,2
43,43,1,1,5,5
44,44,5,5,10,16
45,45,0,0,1,1
46,46,1,5,1,1
47,47,0,0,-1,1
48,48,-75,77,0,0
49,49,2,2,1,1
50,50,1,1,2,2
51,51,0,0,2,2
52,52,1,1,1,1
53,53,11,29,0,0
54,54,0,0,1,1
55,55,17,171,0,0
56,56,0,0,-1,1
57,57,-20,20,0,0
58,58,2,2,4,4
59,59,59,75,8,10
60,60,121,183,6,6
61,61,1,5,6,6
62,62,68,80,14,244
63,63,0,0,1,1
64,64,2,26,1,1
65,65,0,0,1,1
66,66,13,37,0,0
67,67,0,0,1,1
68,68,43,69,41,43
69,69,0,0,2,2
70,70,67,81,79,79
71,71,15,15,2,2
72,72,0,0,1,1
73,73,87,93,0,0
74,74,0,0,1,1
75,75,13,79,0,28
76,76,0,0,-5,9
77,77,-19,81,-1,1
78,78,-14,30,1,1
79,79,-2,4,0,0
80,80,-5,11,8,8
81,81,9,133,-1,1
82,82,10,12,0,0
83,83,-26,56,0,0
84,84,-2,2,0,0
85,85,-6,8,1,1
86,86,18,18,14,14
87,87,22,22,7,7
88,88,12,12,14,14
89,89,3,7,0,2
90,90,4,4,10,12
91,91,24,30,13,13
92,92,1,1,2,2
93,93,4,10,5,5
94,94,36,54,19,19
95,95,13,25,7,7
96,96,1,1,6,6
97,97,12,12,1,1
98,98,2,2,0,0
99,99,10,16,7,11
100,100,7,11,2,4
101,101,18,70,1,3
102,102,1,1,0,0
103,103,9,15,3,3
104,104,-133,133,0,0
105,105,1,1,8,8
106,106,8,8,-1,1
107,107,45,55,7,7
108,108,7,19,4,4
109,109,8,8,6,8
110,110,1,1,1,1
111,111,43,49,0,0
112,112,5,9,8,10
113,113,13,13,6,6
114,114,67,67,43,43
115,115,59,89,69,71
116,116,0,4,10,20
117,117,52,52,0,0
118,118,60,70,58,58
119,119,57,57,47,47
120,120,60,62,80,80
121,121,61,61,64,64
122,122,60,60,79,79
123,123,61,65,66,66
124,124,68,76,64,64
125,125,60,60,52,52
126,126,45,49,33,33
127,127,55,67,58,58
128,128,54,58,47,47
129,129,69,69,68,68
130,130,66,70,18,18
131,131,57,57,38,38
132,132,55,55,4,4
133,133,59,59,24,24
134,134,57,57,43,43
135,135,54,54,12,12
136,136,68,68,70,70
137,137,69,69,67,67
138,138,72,74,73,73
139,139,64,64,64,64
140,140,64,66,56,56
141,141,70,70,63,63
142,142,51,63,19,19
143,143,63,69,69,69
144,144,56,56,47,47
145,145,62,62,63,63
146,146,62,62,75,75
147,147,69,71,87,87
148,148,55,57,34,34
149,149,65,67,64,64
150,150,58,64,60,60
151,151,66,70,68,68
152,152,68,70,69,69
153,153,67,67,70,70
154,154,62,64,65,65
155,155,42,44,33,33
156,156,4,4,3,3
157,157,0,0,-1,1
158,158,-13,29,1,1
159,159,1,1,-2,2
160,160,-50,74,-3,3
161,161,1,5,10,12
162,162,4,8,3,3
163,163,3,3,4,4
164,164,98,98,3,3
165,165,4,4,3,3
166,166,0,0,1,1
167,167,43,49,11,11
168,168,0,0,1,1
169,169,6,32,-1,3
170,170,1,1,3,3
171,171,4,4,7,7
172,172,66,110,15,17
173,173,4,6,6,6
174,174,57,87,44,44
175,175,28,28,12,12
176,176,168,168,0,0
177,177,57,61,-90,306
178,178,126,128,45,45
179,179,2,2,0,0
180,180,40,44,41,77
181,181,11,11,0,0
182,182,11,23,16,16
183,183,55,67,200,200
184,184,22,22,0,0
185,185,47,111,65,327
186,186,145,165,178,212
187,187,401,425,193,207
188,188,70,80,89,89
189,189,12,12,43,43
190,190,92,92,45,45
191,191,96,106,137,139
192,192,57,61,76,76
193,193,6,34,4,4
194,194,128,134,43,193
195,195,54,60,90,90
196,196,85,85,175,175
197,197,234,240,171,201
198,198,85,91,0,0
199,199,91,125,154,154
200,200,5,21,-41,69
201,201,73,97,68,72
202,202,133,163,190,200
203,203,80,86,59,59
204,204,5,7,5,5
205,205,55,73,35,59
206,206,37,45,52,52
207,207,30,54,36,38
208,208,6,6,1,1
209,209,73,77,126,132
210,210,33,33,51,71
211,211,12,36,45,47
212,212,188,204,179,197
213,213,31,47,80,80
214,214,38,86,-10,18
215,215,42,78,36,36
216,216,9,9,15,15
217,217,15,19,67,69
218,218,60,60,0,0
219,219,0,2,1,1
220,220,1,3,3,3
221,221,0,0,1,1
222,222,116,150,176,178
223,223,0,2,2,2
224,224,11,15,0,2
225,225,2,2,0,0
226,226,0,0,5,5
227,227,1,1,-1,1
228,228,16,20,-1,1
229,229,7,7,1,1
230,230,3,3,0,0
231,231,0,0,1,1
232,232,2,2,1,1
233,233,50,70,0,0
234,234,109,139,4,18
235,235,-1,11,0,0
236,236,10,12,1,1
237,237,1559,1609,13,13
238,238,4,4,6,6
239,239,-3,25,-1,1
240,240,19,25,2,2
241,241,-11,33,0,0
242,242,211,213,0,0
243,243,3,3,2,2
244,244,12,22,21,27
245,245,-69,137,0,2
246,246,5,5,8,8
247,247,70,70,0,0
248,248,1166,1172,0,0
249,249,-4,8,0,0
250,250,20,38,0,0
251,251,9,15,0,0
252,252,13,83,19,19
253,253,-47,79,0,0
254,254,-7,23,0,0
255,255,4,4,1,1
256,256,12,12,0,0
257,257,112,130,-2,2
258,258,10,20,1,1
259,259,12,36,75,75
260,260,9,19,1,1
261,261,-8,30,0,0
262,262,15,101,84,84
263,263,-2,44,7,51
264,264,-9,19,0,0
265,265,12,68,0,0
266,266,10,14,0,0
267,267,1,1,0,0
268,268,-1,9,0,0
269,269,-6,8,0,0
270,270,2,10,3,13
271,271,-2,6,0,0
272,272,-6,8,0,0
273,273,-2,6,2,2
274,274,0,2,0,0
275,275,1,1,3,3
276,276,6,6,4,4
277,277,4,4,3,3
278,278,5,5,36,36
279,279,1,9,8,8
280,280,10,30,7,7
281,281,379,379,3,3
282,282,150,172,-5,5
283,283,3,5,0,0
284,284,5,5,0,0
285,285,-1,3,3,3
286,286,10,10,13,13
287,287,284,284,0,0
288,288,1,1,0,0
289,289,2,2,2,2
290,290,16,16,1,1
291,291,122,122,0,0
292,292,2,2,1,1
293,293,10,10,70,70
294,294,-47,207,12,36
295,295,5,5,0,0
296,296,104,136,-2,2
297,297,5,23,14,14
298,298,99,107,6,68
299,299,98,100,-75,77
300,300,41,43,0,0
301,301,122,136,-28,248
302,302,91,91,13,13
303,303,1,1,2,2
304,304,3,3,1,1
305,305,2,4,4,4
306,306,10,10,8,8
307,307,8,8,0,0
308,308,243,249,0,0
309,309,-163,165,0,0
310,310,5,5,4,4
311,311,2,4,2,2
312,312,1,1,0,0
313,313,9,17,25,35
314,314,1,1,1,1
315,315,93,121,2,2
316,316,-1,3,0,0
317,317,1,1,0,0
318,318,17,27,6,6
319,319,35,35,0,0
320,320,15,15,0,0
321,321,101,117,20,20
322,322,21,21,0,0
323,323,28,96,-64,96
324,324,-23,37,1,1
325,325,0,0,1,1
326,326,15,19,10,12
327,327,0,0,1,1
328,328,2,2,0,0
329,329,0,2,9,9
330,330,111,127,0,0
331,331,67,67,0,0
332,332,20,20,9,9
333,333,6,6,7,7
334,334,7,17,4,4
335,335,33,41,4,16
336,336,47,95,6,6
337,337,1,1,16,16
338,338,32,98,40,134
339,339,2,42,2,2
340,340,7,39,-12,12
341,341,21,35,-200,200
342,342,61,71,69,69
343,343,51,75,-8,8
344,344,38,46,6,14
345,345,2,82,1,1
346,346,26,40,0,0
347,347,45,51,3,3
348,348,7,17,-2,2
349,349,-2,104,19,19
350,350,8,26,-17,17
351,351,2,2,-1,1
352,352,-1,3,1,1
353,353,-16,66,0,0
354,354,1,1,2,2
355,355,53,53,0,0
356,356,9,9,7,7
357,357,398,410,-1,217
358,358,15,39,-1,1
359,359,53,59,9,9
360,360,48,76,0,0
361,361,12,12,0,0
362,362,0,0,1,1
363,363,0,8,-7,15
364,364,4,8,37,39
365,365,289,343,197,203
366,366,7,17,-2,2
367,367,2,2,0,0
368,368,1,1,-5,5
369,369,9,11,6,6
370,370,11,23,15,23
371,371,16,16,10,10
372,372,1,1,1,1
373,373,67,71,0,0
374,374,12,12,0,0
375,375,20,48,7,7
376,376,7,7,4,4
377,377,2,2,8,8
378,378,1,11,0,0
379,379,1,1,0,0
380,380,10,10,0,0
381,381,4,6,0,0
382,382,12,28,-108,292
383,383,8,18,22,24
384,384,22,60,3,3
385,385,17,17,22,22
386,386,-1,15,9,9
387,387,2,6,3,3
388,388,-11,29,0,0
389,389,12,20,-4,4
390,390,4,4,4,4
391,391,1,1,0,0
392,392,9,15,11,15
393,393,3,3,6,6
394,394,2,4,13,13
395,395,-1,15,11,11
396,396,-3,33,29,29
397,397,1,3,0,0
398,398,1,1,3,3
399,399,2,2,-1,1
400,400,1,1,0,0
401,401,4,12,1,1
402,402,-10,38,1,1
403,403,1,1,1,1
404,404,28,76,11,11
405,405,1,1,0,0
406,406,0,0,1,1
407,407,6,6,-22,24
408,408,0,0,3,3
409,409,2,2,10,16
410,410,1,1,2,2
411,411,14,18,-4,4
412,412,0,0,2,2
413,413,3,3,-195,205
414,414,4,4,0,0
415,415,4,4,2,2
416,416,43,43,3,3
417,417,6,6,11,11
418,418,0,0,1,1
419,419,2,6,-1,1
420,420,-4,22,9,9
421,421,-9,21,-3,3
422,422,16,48,38,38
423,423,11,11,3,3
424,424,1,1,0,0
425,425,4,6,4,4
426,426,21,77,-130,258
427,427,2,2,1,1
428,428,2,2,0,0
429,429,6,6,1,1
430,430,18,28,0,4
431,431,0,0,2,2
432,432,73,75,12,12
433,433,3,5,5,5
434,434,0,0,1,1
435,435,4,10,5,5
436,436,1,1,16,16
437,437,64,64,-1,1
438,438,81,81,13,15
439,439,93,93,0,0
440,440,207,251,78,80
441,441,68,68,1,1
442,442,-1,17,1,1
443,443,50,56,-1,1
444,444,53,53,0,0
445,445,15,25,12,16
446,446,24,24,0,0
447,447,-28,52,1,1
448,448,0,8,5,5
449,449,4,26,0,0
450,450,5,51,0,0
451,451,-7,29,0,0
452,452,30,32,60,60
453,453,45,45,3,3
454,454,0,0,-1,1
455,455,-44,118,0,0
456,456,0,0,1,1
457,457,3,3,0,0
458,458,0,0,2,2
459,459,15,17,0,0
460,460,42,58,11,33
461,461,0,0,1,1
462,462,5,5,10,10
463,463,-3,5,6,14
464,464,9,9,0,0
465,465,24,24,0,0
466,466,19,25,-1,3
467,467,-8,28,5,5
468,468,-2,6,1,1
469,469,5,7,8,8
470,470,5,5,-21,63
471,471,3,5,2,2
472,472,-1,7,8,8
473,473,28,42,23,23
474,474,-1,11,2,2
475,475,-14,14,0,0
476,476,0,0,1,1
477,477,0,2,3,3
478,478,0,4,-1,1
479,479,-24,32,0,0
480,480,0,0,1,1
481,481,0,0,13,13
482,482,1,1,4,4
483,483,4,14,5,5
484,484,6,16,9,9
485,485,1,1,0,0
486,486,26,46,35,35
487,487,3,3,0,0
488,488,8,8,25,25
489,489,1,1,4,4
490,490,1,1,0,0
491,491,92,154,-38,44
492,492,1,1,0,0
493,493,0,0,1,1
494,494,-24,128,9,11
495,495,5,41,81,81
496,496,10,10,8,8
497,497,5,21,-1,3
498,498,28,44,-8,26
499,499,19,33,3,3
500,500,14,20,9,11
501,501,9,9,1,1
502,502,266,280,130,260
503,503,14,16,10,10
504,504,39,61,-3,3
505,505,70,84,40,44
506,506,11,21,-2,2
507,507,23,23,5,5
508,508,31,35,24,24
509,509,4,4,5,5
510,510,24,78,-161,227
511,511,44,76,22,24
512,512,1,1,4,4
513,513,39,39,23,23
514,514,2,2,2,2
515,515,3,3,0,0
516,516,2,2,12,12
517,517,0,0,1,1
518,518,33,35,-2,2
519,519,0,0,1,1
520,520,-1,13,3,27
521,521,0,0,1,1
522,522,11,23,0,0
523,523,5,7,4,4
524,524,4,4,2,2
525,525,4,18,20,20
526,526,1,1,1,1
527,527,7,21,12,18
528,528,0,0,-93,99
529,529,8,64,23,23
530,530,0,16,0,0
531,531,0,2,4,4
532,532,4,16,-1,1
533,533,-15,35,0,0
534,534,-79,99,0,0
535,535,4,6,-7,11
536,536,-44,44,1,1
537,537,-94,270,-29,45
538,538,13,27,4,4
539,539,17,29,9,9
540,540,36,108,0,0
541,541,-6,16,-1,1
542,542,0,2,0,0
543,543,-3,27,8,8
544,544,-8,14,0,0
545,545,-25,121,30,30
546,546,-8,20,0,0
547,547,0,6,-134,152
548,548,-6,18,6,6
549,549,-7,11,0,0
550,550,8,50,-2,26
551,551,-39,53,-18,24
552,552,-4,6,0,0
553,553,3,7,0,0
554,554,5,39,6,10
555,555,7,39,0,0
556,556,4,6,20,22
557,557,-11,11,0,0
558,558,-4,4,0,0
559,559,-13,21,-1,1
560,560,8,36,-145,145
561,561,-29,41,0,4
562,562,15,23,0,48
563,563,-2,2,-1,1
564,564,23,115,1,1
565,565,-9,45,0,0
566,566,-17,39,0,0
567,567,60,122,-1,1
568,568,8,44,17,19
569,569,241,241,2,2
570,570,-4,14,2,2
571,571,13,41,0,0
572,572,-7,13,19,19
573,573,-19,31,0,0
574,574,-23,35,0,0
575,575,-1,1,0,0
576,576,3,11,3,3
577,577,-15,15,1,1
578,578,27,41,91,97
579,579,4,14,-47,53
580,580,-34,82,181,181
581,581,0,2,-22,26
582,582,8,58,-3,3
583,583,-24,26,1,1
584,584,2,26,0,0
585,585,5,17,-18,34
586,586,-238,258,0,0
587,587,3,11,0,0
588,588,-5,7,1,5
589,589,-26,36,-2,2
590,590,-17,47,0,0
591,591,6,44,8,10
592,592,-1,1,-5,5
593,593,-3,13,3,3
594,594,0,2,4,4
595,595,-170,288,9,9
596,596,-5,7,0,0
597,597,-32,42,0,0
598,598,-3,3,0,0
599,599,-56,60,0,0
600,600,-5,11,2,2
601,601,-3,3,0,0
