idx,dataset,measure,result,duration
0,following_cc,BC,0.016455508746458916,0
1,following_cc,EC,0.08112354223654294,859
2,following_cc,ECU,-0.010277951008336395,4114
3,following_cc,ECU(corr),0.008714254115838593,5766
4,following_cc,PI,0.2987994229090393,71
5,following_cc,MBLB,0.2681506808606372,2634
6,following_cc,Modularity,0.3171621244592826,0
7,following_cc,RWC,0.24836906050874696,114
8,follow_ignore_cc,BC,-0.037584557847298604,0
9,follow_ignore_cc,EC,-0.038473849119534886,1255
10,follow_ignore_cc,PI,0.23498274443001196,101
11,follow_ignore_cc,MBLB,0.23325285145610583,3175
12,follow_ignore_cc,Modularity,0.3051355868616387,0
13,follow_ignore_cc,RWC,0.22171347762698262,139
14,ignoring_cc,BC,-0.005682366685914117,0
15,ignoring_cc,EC,0.03647473360254905,255
16,ignoring_cc,ECU,0.03013931674061865,1255
17,ignoring_cc,ECU(corr),0.04722792843862855,1867
18,ignoring_cc,PI,0.2368714388001465,42
19,ignoring_cc,MBLB,0.4117322979462553,502
20,ignoring_cc,Modularity,0.31048820607567473,0
21,ignoring_cc,RWC,0.17843634125304472,66
0,following_cc,BC,0.016455508746458916,0
1,following_cc,EC,0.017327924538201755,844
2,following_cc,ECU,0.0006594122910429379,4190
3,following_cc,ECU(corr),0.011228621762499835,5670
4,following_cc,PI,0.2987994229090393,65
5,following_cc,Modularity,0.3171621244592826,0
6,following_cc,RWC,0.25064357118658886,113
7,follow_ignore_cc,BC,-0.037584557847298604,0
8,follow_ignore_cc,EC,-0.039143812074984075,1268
9,follow_ignore_cc,PI,0.23498274443001196,104
10,follow_ignore_cc,Modularity,0.3051355868616387,0
11,follow_ignore_cc,RWC,0.222437266553185,151
12,ignoring_cc,BC,-0.005682366685914117,0
13,ignoring_cc,EC,0.07659730724875113,262
14,ignoring_cc,ECU,0.04798672031273554,1231
15,ignoring_cc,ECU(corr),0.044244465532971455,1840
16,ignoring_cc,PI,0.2368714388001465,41
17,ignoring_cc,Modularity,0.31048820607567473,0
18,ignoring_cc,RWC,0.1822068078873058,65
0,follow_ignore_cc,BC,-0.037584557847298604,0
1,follow_ignore_cc,EC,-0.03844906633512846,1161
2,follow_ignore_cc,ECU,0.04239494671354038,5546
3,follow_ignore_cc,ECU(corr),0.013054976875353397,8949
4,follow_ignore_cc,PI,0.23498274443001196,95
5,follow_ignore_cc,Modularity,0.3051355868616387,0
6,follow_ignore_cc,RWC,0.2144787230061208,134
0,following_cc,EC,0.10489097362369293,822
1,following_cc,ECU,-0.009395105814568705,4229
2,following_cc,ECU(corr),0.003232948943411307,5829
3,following_cc,RWC,0.24675390933213126,115
4,follow_ignore_cc,EC,-0.03815097060744388,1189
5,follow_ignore_cc,ECU,0.02507800236929525,5747
6,follow_ignore_cc,ECU(corr),0.020680518945926818,9132
7,follow_ignore_cc,RWC,0.21804595160663562,140
8,ignoring_cc,EC,0.13178420530503543,249
9,ignoring_cc,ECU,0.034133848278690815,1181
10,ignoring_cc,ECU(corr),0.01283427075626209,1800
11,ignoring_cc,RWC,0.18250489133069828,64
0,following_cc,EC,0.13179354149003908,788
1,following_cc,ECU,-0.009020261413058117,3890
2,following_cc,ECU(corr),0.006355249850433897,5678
3,following_cc,RWC,0.24940961213410634,118
4,follow_ignore_cc,EC,-0.03795894276376832,1124
5,follow_ignore_cc,ECU,0.03171116091774151,5477
6,follow_ignore_cc,ECU(corr),0.01867538936325419,8874
7,follow_ignore_cc,RWC,0.2194296952136168,138
8,ignoring_cc,EC,0.1093421779923256,233
9,ignoring_cc,ECU,0.04577129543442604,1149
10,ignoring_cc,ECU(corr),0.057171487861380155,1786
11,ignoring_cc,RWC,0.17772564044578992,63
