idx,dataset,measure,result,duration
0,following_cc,BCC,0.6418166328208952,432
1,following_cc,BC,0.06889835871460556,0
2,following_cc,EC,-0.006805893756923531,665
3,following_cc,ECU,0.034444872341932276,4049
4,following_cc,ECU(corr),0.03662547839566099,5160
5,following_cc,PI,0.7171504184826193,43
6,following_cc,MBLB,0.2723378687064268,3068
7,following_cc,Modularity,0.32952729023065797,0
8,following_cc,RWC,0.28766739025793053,137
9,follow_ignore_cc,BCC,0.6048361109705058,792
10,follow_ignore_cc,BC,0.03896620749065561,0
11,follow_ignore_cc,EC,0.11521431870600696,1319
12,follow_ignore_cc,ECU,0.039673140809101004,5468
13,follow_ignore_cc,ECU(corr),0.008151745047007553,7964
14,follow_ignore_cc,PI,0.6832975987236033,52
15,follow_ignore_cc,MBLB,0.23591773121884935,3126
16,follow_ignore_cc,Modularity,0.2923402209113757,0
17,follow_ignore_cc,RWC,0.19646029475672178,142
18,ignoring_cc,BCC,0.4478614732481647,95
19,ignoring_cc,BC,0.11428439777989306,0
20,ignoring_cc,EC,-0.06335784285719348,227
21,ignoring_cc,ECU,0.003999541806333773,1201
22,ignoring_cc,ECU(corr),-0.002167777088980305,1424
23,ignoring_cc,PI,0.9108808525089418,22
24,ignoring_cc,MBLB,0.3494849948985769,512
25,ignoring_cc,Modularity,0.31003134780586283,0
26,ignoring_cc,RWC,0.1983071211663724,74
0,following_cc,BCC,0.6474898388027632,507
1,following_cc,BC,0.06889835871460556,0
2,following_cc,EC,-0.009667658029725246,708
3,following_cc,PI,0.7171504184826193,45
4,following_cc,MBLB,0.2723378687064268,3017
5,following_cc,Modularity,0.32952729023065797,0
6,following_cc,RWC,0.2844634227690933,122
7,follow_ignore_cc,BCC,0.6342405839350667,896
8,follow_ignore_cc,BC,0.03896620749065561,0
9,follow_ignore_cc,EC,0.11506878200410442,1478
10,follow_ignore_cc,ECU,0.04635357129472406,5629
11,follow_ignore_cc,ECU(corr),0.010005493749739802,7623
12,follow_ignore_cc,PI,0.6832975987236033,58
13,follow_ignore_cc,MBLB,0.23591773121884935,3140
14,follow_ignore_cc,Modularity,0.2923402209113757,0
15,follow_ignore_cc,RWC,0.1993489400742339,138
16,ignoring_cc,BCC,0.4495381831953268,115
17,ignoring_cc,BC,0.11428439777989306,0
18,ignoring_cc,EC,-0.06242077324712758,258
19,ignoring_cc,ECU,0.006898651988419213,1292
20,ignoring_cc,ECU(corr),-0.011506631729351291,1497
21,ignoring_cc,PI,0.9108808525089418,22
22,ignoring_cc,MBLB,0.3494849948985769,565
23,ignoring_cc,Modularity,0.31003134780586283,0
24,ignoring_cc,RWC,0.19500653539723392,73
0,following_cc,EC,-0.005859746383749753,655
1,following_cc,ECU,0.03562726413320727,4051
2,following_cc,PI,0.7171504184826193,40
3,follow_ignore_cc,EC,0.114821192869484,1346
4,follow_ignore_cc,ECU(corr),0.011776611741390774,7515
5,follow_ignore_cc,PI,0.6832975987236033,49
6,ignoring_cc,EC,-0.0636928973887898,218
7,ignoring_cc,ECU,0.003072723396136845,1203
8,ignoring_cc,ECU(corr),-0.0072361930486135595,1427
9,ignoring_cc,PI,0.9108808525089418,22
0,following_cc,EC,-0.004793892225287033,589
1,following_cc,ECU,0.02814486279711015,3898
2,following_cc,ECU(corr),0.03246921407040271,5046
3,following_cc,PI,0.7171504184826193,38
4,follow_ignore_cc,EC,0.11520497723851009,1190
5,follow_ignore_cc,ECU,0.043420456635008486,5449
6,follow_ignore_cc,ECU(corr),0.006140643568306348,7518
7,follow_ignore_cc,PI,0.6832975987236033,52
8,ignoring_cc,EC,-0.061410504007869626,199
9,ignoring_cc,ECU,0.007134021934900869,1113
10,ignoring_cc,ECU(corr),-0.0021641716530429456,1362
11,ignoring_cc,PI,0.9108808525089418,21
