idx,dataset,measure,result,duration
0,complete_graph_600,Modularity,-0.0008347152661844492,0
1,connected_complete_graphs,Modularity,0.49983280387895,0
2,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
3,Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362391443,0
4,Facebook_Friends,Modularity,0.3327028770560748,0
5,Facebook_Friends_cc,Modularity,0.3436300130848828,0
6,gun_control_Twitter,Modularity,0.47766693281162204,1
7,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
8,karate,Modularity,0.3717948717948718,0
9,karate_easley_groundtruth,Modularity,0.3582347140039447,0
10,NY_Teams_Twitter,Modularity,0.3995227033016174,1
11,NY_Teams_Twitter_cc,Modularity,0.39377979867092416,1
12,polblogs,Modularity,0.4256232042299787,0
13,polblogs_cc,Modularity,0.422376344239583,0
