idx,dataset,measure,result,duration
0,polblogs_cc,BCC,0.6261255793791651,1
1,polblogs_cc,BoundaryConnectivity,0.17016949158578218,0
2,polblogs_cc,ClusteringCoefficient,0.33958178858045723,0
3,polblogs_cc,EmbeddingControversy,0.6321887585444308,6
4,polblogs_cc,PolarizationIndex,0.13417565298409245,83
5,polblogs_cc,MBLB,0.4551220865511118,14
6,polblogs_cc,Modularity,0.422376344239583,0
7,polblogs_cc,RWC,0.2980002189389364,9
8,polblogs,BCC,0.6331370860024872,1
9,polblogs,BoundaryConnectivity,0.17940389178883276,0
10,polblogs,ClusteringCoefficient,0.26153040196578853,0
11,polblogs,EmbeddingControversy,0.03372457333696344,10
12,polblogs,PolarizationIndex,0.29671328388799606,87
13,polblogs,MBLB,0.33282216862735864,15
14,polblogs,Modularity,0.4256232042299787,0
15,polblogs,RWC,0.3351338024987812,12
16,karate_easley_groundtruth,BCC,0.37375640385031306,0
17,karate_easley_groundtruth,BoundaryConnectivity,0.18828914141414138,0
18,karate_easley_groundtruth,ClusteringCoefficient,0.5977124183006536,0
19,karate_easley_groundtruth,EmbeddingControversy,0.46113631675071143,0
20,karate_easley_groundtruth,PolarizationIndex,0.3777382794478932,0
21,karate_easley_groundtruth,MBLB,0.7770308123249301,0
22,karate_easley_groundtruth,Modularity,0.3582347140039447,0
23,karate_easley_groundtruth,RWC,0.14541146469907096,0
24,karate,BCC,0.3721807047061856,0
25,karate,BoundaryConnectivity,0.18828914141414138,0
26,karate,ClusteringCoefficient,0.5683006535947712,0
27,karate,EmbeddingControversy,0.49730529568242376,0
28,karate,PolarizationIndex,0.3412561363429929,0
29,karate,MBLB,0.7770308123249301,0
30,karate,Modularity,0.3717948717948718,0
31,karate,RWC,0.1588183108408165,0
32,gun_control_Twitter_cc,BCC,0.8291872128714051,2452
33,gun_control_Twitter_cc,BoundaryConnectivity,0.24691011981753894,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,23
35,gun_control_Twitter_cc,EmbeddingControversy,0.660710799002763,1140
36,gun_control_Twitter_cc,MBLB,0.5844167273722439,1281
37,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
38,gun_control_Twitter_cc,RWC,0.657518422587392,126
39,gun_control_Twitter,BCC,0.8437659752537161,2449
40,gun_control_Twitter,BoundaryConnectivity,0.24926353632426287,0
41,gun_control_Twitter,ClusteringCoefficient,0.06658574142925047,24
42,gun_control_Twitter,EmbeddingControversy,0.651414494512577,1228
43,gun_control_Twitter,MBLB,0.5730405989958149,1310
44,gun_control_Twitter,Modularity,0.47766693281162204,1
45,gun_control_Twitter,RWC,0.6667290615698835,120
46,Facebook_Friends_cc,BCC,0.774280931377006,0
47,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
48,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
49,Facebook_Friends_cc,EmbeddingControversy,0.5093027480195771,0
50,Facebook_Friends_cc,PolarizationIndex,0.14109815986354043,16
51,Facebook_Friends_cc,MBLB,0.19830141255956935,5
52,Facebook_Friends_cc,Modularity,0.3436300130848828,0
53,Facebook_Friends_cc,RWC,0.1795088345211852,1
54,Facebook_Friends,BCC,0.7599361795566626,0
55,Facebook_Friends,BoundaryConnectivity,0.10685660114030922,0
56,Facebook_Friends,ClusteringCoefficient,0.5510357852149431,0
57,Facebook_Friends,EmbeddingControversy,0.3711494816133488,0
58,Facebook_Friends,PolarizationIndex,0.22563950133901067,20
59,Facebook_Friends,MBLB,0.207987012987013,7
60,Facebook_Friends,Modularity,0.3327028770560748,0
61,Facebook_Friends,RWC,0.20253620653367643,2
62,Cruzeiro_Atletico_Twitter_cc,BCC,0.8139069466476514,384
63,Cruzeiro_Atletico_Twitter_cc,BoundaryConnectivity,0.10680046878029974,0
64,Cruzeiro_Atletico_Twitter_cc,ClusteringCoefficient,0.10854715760042166,3
65,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.30079023965079543,576
66,Cruzeiro_Atletico_Twitter_cc,MBLB,0.4046738826872315,610
67,Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362391443,0
68,Cruzeiro_Atletico_Twitter_cc,RWC,0.3310719892723415,126
69,Cruzeiro_Atletico_Twitter,BCC,0.8135582342517295,406
70,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737003,0
71,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,5
72,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.14002228999895572,837
73,Cruzeiro_Atletico_Twitter,MBLB,0.3751677028705645,1098
74,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
75,Cruzeiro_Atletico_Twitter,RWC,0.3696870868008833,152
76,connected_complete_graphs,BCC,0.7458905143988915,21
77,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
78,connected_complete_graphs,ClusteringCoefficient,0.9996666666666669,8
79,connected_complete_graphs,EmbeddingControversy,0.9407773987827063,3
80,connected_complete_graphs,PolarizationIndex,0.8273688725544391,4514
81,connected_complete_graphs,MBLB,0.6542857142857144,5
82,connected_complete_graphs,Modularity,0.49983280387895,0
83,connected_complete_graphs,RWC,0.989700089073008,7
84,complete_graph_600,BCC,0.00031547256677944,69
85,complete_graph_600,BoundaryConnectivity,0.0,0
86,complete_graph_600,ClusteringCoefficient,1.0,20
87,complete_graph_600,EmbeddingControversy,-0.004964697640811755,4
88,complete_graph_600,PolarizationIndex,0.00018222611111111097,16568
89,complete_graph_600,MBLB,0.01837824399708948,4
90,complete_graph_600,Modularity,-0.0008347152661844492,0
91,complete_graph_600,RWC,-0.04634812773575131,6
