idx,dataset,measure,result,duration
0,polblogs,EC_UMAP,0.5717908267858266,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.06316554572289401,2073
2,connected_complete_graphs,EC_UMAP,0.9578941329864604,10
3,Facebook_Friends_cc,EC_UMAP,0.18315302674395006,4
4,complete_graph_600,EC_UMAP,0.06882409430541192,7
5,karate,EC_UMAP,0.607909326413571,0
6,karate_easley_groundtruth,EC_UMAP,0.7132817762458519,0
7,polblogs_cc,EC_UMAP,0.3419470524319819,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.11280817513408835,1157
9,gun_control_Twitter,EC_UMAP,0.3915711492886485,3586
10,Facebook_Friends,EC_UMAP,0.17337525366812168,1
0,polblogs,EC_UMAP,0.5168987206009369,17
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.10093487836974137,2017
2,connected_complete_graphs,EC_UMAP,0.9561115886975246,10
3,Facebook_Friends_cc,EC_UMAP,0.22279442638572436,4
4,complete_graph_600,EC_UMAP,0.08185245455076051,7
5,karate,EC_UMAP,0.658460901116767,0
6,karate_easley_groundtruth,EC_UMAP,0.6519503678802503,0
7,polblogs_cc,EC_UMAP,0.3233881735945012,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.12861257988331476,1153
9,gun_control_Twitter,EC_UMAP,0.4041092446794772,3519
10,Facebook_Friends,EC_UMAP,0.1860311661706402,1
0,polblogs,EC_UMAP,0.5223318529833856,17
1,connected_complete_graphs,EC_UMAP,0.9513659401405621,10
2,Facebook_Friends_cc,EC_UMAP,0.24288802941495,4
3,gun_control_Twitter_cc,EC_UMAP,0.3221171923638959,3503
4,complete_graph_600,EC_UMAP,0.06155584047805074,7
5,karate,EC_UMAP,0.6733620832635459,0
6,karate_easley_groundtruth,EC_UMAP,0.6022240830948105,0
7,polblogs_cc,EC_UMAP,0.3619097036351695,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.12078111697531435,1175
9,Facebook_Friends,EC_UMAP,0.11915854835877325,4
0,polblogs,EC_UMAP,0.4357686717979707,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.11381384383644022,1952
2,connected_complete_graphs,EC_UMAP,0.9512225567572876,7
3,Facebook_Friends_cc,EC_UMAP,0.2366733307675927,1
4,complete_graph_600,EC_UMAP,0.09489546856010443,7
5,karate,EC_UMAP,0.5940051061125509,0
6,karate_easley_groundtruth,EC_UMAP,0.6106905760573276,0
7,polblogs_cc,EC_UMAP,0.3381040703457813,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.1349136295357911,1137
9,Facebook_Friends,EC_UMAP,0.048238474031981886,1
0,polblogs,EC_UMAP,0.5262347737448999,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.0535679592344761,1975
2,connected_complete_graphs,EC_UMAP,0.9436749430671724,7
3,Facebook_Friends_cc,EC_UMAP,0.1145323337687999,1
4,complete_graph_600,EC_UMAP,0.09935889979396052,7
5,karate,EC_UMAP,0.6631131974603892,0
6,karate_easley_groundtruth,EC_UMAP,0.5929891950883097,0
7,polblogs_cc,EC_UMAP,0.34235005623324066,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.13796697327870888,1125
9,Facebook_Friends,EC_UMAP,0.07902734560106983,1
0,polblogs,EC_UMAP,0.5504635323949415,17
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.08751069700038805,2122
2,connected_complete_graphs,EC_UMAP,0.9550842206053164,10
3,Facebook_Friends_cc,EC_UMAP,0.19914492725481792,4
4,complete_graph_600,EC_UMAP,0.05253287446985433,7
5,karate,EC_UMAP,0.7295083914161896,0
6,karate_easley_groundtruth,EC_UMAP,0.7099883544049402,0
7,polblogs_cc,EC_UMAP,0.36708036996506055,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.1276289827514291,1203
9,gun_control_Twitter,EC_UMAP,0.4675792780974342,3694
10,Facebook_Friends,EC_UMAP,0.2097404875981628,1
0,polblogs,EC_UMAP,0.4183949903377528,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.10042198308772232,1960
2,connected_complete_graphs,EC_UMAP,0.9485879657872776,7
3,Facebook_Friends_cc,EC_UMAP,0.20570726145318,1
4,complete_graph_600,EC_UMAP,0.06613187207835891,7
5,karate,EC_UMAP,0.6886063174880772,0
6,karate_easley_groundtruth,EC_UMAP,0.607859114800813,0
7,polblogs_cc,EC_UMAP,0.34820536241836664,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.1527680425419572,1097
9,Facebook_Friends,EC_UMAP,0.08752079500977628,1
0,polblogs,EC_UMAP,0.5501533911566721,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.12164062198381488,1999
2,connected_complete_graphs,EC_UMAP,0.9526302537019956,7
3,Facebook_Friends_cc,EC_UMAP,0.1602787878356371,1
4,complete_graph_600,EC_UMAP,0.08419286004031977,7
5,karate,EC_UMAP,0.698405555914104,0
6,karate_easley_groundtruth,EC_UMAP,0.7287715204305245,0
7,polblogs_cc,EC_UMAP,0.3324333132160283,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.12434197311308814,1151
9,Facebook_Friends,EC_UMAP,0.06906827312813267,1
0,polblogs,EC_UMAP,0.5409616306442733,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.09178586858770854,2023
2,connected_complete_graphs,EC_UMAP,0.9417307156508842,10
3,Facebook_Friends_cc,EC_UMAP,0.18725813519879755,4
4,complete_graph_600,EC_UMAP,0.07654888143995164,7
5,karate,EC_UMAP,0.6504921189697863,0
6,karate_easley_groundtruth,EC_UMAP,0.6238776284587955,0
7,polblogs_cc,EC_UMAP,0.35641390157760205,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.1514698489149321,1151
9,gun_control_Twitter,EC_UMAP,0.4648328028830775,3452
10,Facebook_Friends,EC_UMAP,0.2514050669529547,1
0,polblogs,EC_UMAP,0.5575718955965485,16
1,Cruzeiro_Atletico_Twitter,EC_UMAP,0.11838952707256488,1985
2,connected_complete_graphs,EC_UMAP,0.9542499829591582,7
3,Facebook_Friends_cc,EC_UMAP,0.20494893229843325,1
4,complete_graph_600,EC_UMAP,0.08632532922646807,7
5,karate,EC_UMAP,0.6934030325066154,0
6,karate_easley_groundtruth,EC_UMAP,0.6543020646221129,0
7,polblogs_cc,EC_UMAP,0.3386338408771923,8
8,Cruzeiro_Atletico_Twitter_cc,EC_UMAP,0.11538135563133345,1164
9,Facebook_Friends,EC_UMAP,0.02896792966665052,1
0,polblogs,EC_UMAP,0.4951798462718642,16
