idx,dataset,measure,result,duration
0,polblogs,EmbeddingControversy,0.5504635323949415,17
1,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.08751069700038805,2122
2,connected_complete_graphs,EmbeddingControversy,0.9550842206053165,10
3,Facebook_Friends_cc,EmbeddingControversy,0.19914492725481792,4
4,complete_graph_600,EmbeddingControversy,0.05253287446985433,7
5,karate,EmbeddingControversy,0.7295083914161896,0
6,karate_easley_groundtruth,EmbeddingControversy,0.7099883544049402,0
7,polblogs_cc,EmbeddingControversy,0.36708036996506055,8
8,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.1276289827514291,1203
9,gun_control_Twitter,EmbeddingControversy,0.46757927809743416,3694
10,Facebook_Friends,EmbeddingControversy,0.20974048759816277,1
