idx,dataset,measure,result,duration
0,polblogs,EmbeddingControversy,0.26872418332751835,23
1,polblogs,EmbeddingControversy,0.3967097064310717,20
2,polblogs,EmbeddingControversy,0.3704965896912005,20
3,polblogs,EmbeddingControversy,0.3707831497516131,19
4,polblogs,EmbeddingControversy,0.31131270461450034,19
5,polblogs,EmbeddingControversy,0.3192227895812104,20
6,polblogs,EmbeddingControversy,0.3465416864447166,19
7,polblogs,EmbeddingControversy,0.3335543590098794,20
8,polblogs,EmbeddingControversy,0.26351167389378394,20
9,polblogs,EmbeddingControversy,0.356815760550536,20
10,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.062471332749057924,2160
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.05167166175742288,2138
12,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.05029105658547317,2164
13,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.07892540866704645,2152
14,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.07611090308821468,2135
15,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.07273949553143189,2127
16,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.06226686111086821,2132
17,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.0871583484360875,2145
18,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.06045468880014793,2120
19,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.08276525795473832,2167
20,connected_complete_graphs,EmbeddingControversy,0.965408454948699,17
21,connected_complete_graphs,EmbeddingControversy,0.9622734411297624,13
22,connected_complete_graphs,EmbeddingControversy,0.9627653119190512,13
23,connected_complete_graphs,EmbeddingControversy,0.961561928055272,13
24,connected_complete_graphs,EmbeddingControversy,0.9654970842619623,13
25,connected_complete_graphs,EmbeddingControversy,0.965375250400424,13
26,connected_complete_graphs,EmbeddingControversy,0.9675837692969598,13
27,connected_complete_graphs,EmbeddingControversy,0.9611445777860134,13
28,connected_complete_graphs,EmbeddingControversy,0.962632392749304,13
29,connected_complete_graphs,EmbeddingControversy,0.9561052590189846,13
30,Facebook_Friends_cc,EmbeddingControversy,0.2078173240874388,4
31,Facebook_Friends_cc,EmbeddingControversy,0.2489640570274425,1
32,Facebook_Friends_cc,EmbeddingControversy,0.1860056022210631,1
33,Facebook_Friends_cc,EmbeddingControversy,0.1789616559119772,1
