idx,dataset,measure,result,duration
0,polblogs,EmbeddingControversy,0.3858392322483607,23
1,polblogs,EmbeddingControversy,0.35702065557446383,19
2,polblogs,EmbeddingControversy,0.3080015171026279,19
3,polblogs,EmbeddingControversy,0.24789744139645786,19
4,polblogs,EmbeddingControversy,0.43517964299136536,19
5,polblogs,EmbeddingControversy,0.45442336491754076,19
6,polblogs,EmbeddingControversy,0.3491851243652053,19
7,polblogs,EmbeddingControversy,0.3284115427117842,19
8,polblogs,EmbeddingControversy,0.27412236825838376,19
9,polblogs,EmbeddingControversy,0.3765735373368331,19
10,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.07510799058238182,2227
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.06757064779987465,2160
12,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.06303380840221906,2180
13,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.071970210063799,2162
14,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.05698655697973187,2223
15,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.060030739065145555,2180
16,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.05057288611972166,2170
17,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.07901815840048843,2212
18,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.07084096935566808,2161
19,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.06553198411868955,2131
20,connected_complete_graphs,EmbeddingControversy,0.9620263969321168,16
21,connected_complete_graphs,EmbeddingControversy,0.9650077256322191,13
22,connected_complete_graphs,EmbeddingControversy,0.9571168681094452,13
23,connected_complete_graphs,EmbeddingControversy,0.9640686136785244,13
24,connected_complete_graphs,EmbeddingControversy,0.9531582829544535,13
25,connected_complete_graphs,EmbeddingControversy,0.9641183569596937,13
26,connected_complete_graphs,EmbeddingControversy,0.9533482633454113,13
27,connected_complete_graphs,EmbeddingControversy,0.9631839915737421,13
28,connected_complete_graphs,EmbeddingControversy,0.964608921058697,13
29,connected_complete_graphs,EmbeddingControversy,0.9502326683259801,13
30,Facebook_Friends_cc,EmbeddingControversy,0.2067145256772167,4
31,Facebook_Friends_cc,EmbeddingControversy,0.1866900310093934,1
32,Facebook_Friends_cc,EmbeddingControversy,0.15884134867814503,1
33,Facebook_Friends_cc,EmbeddingControversy,0.19551877595208023,1
34,Facebook_Friends_cc,EmbeddingControversy,0.21147520324264946,1
35,Facebook_Friends_cc,EmbeddingControversy,0.23977382083466603,1
