idx,dataset,measure,result,duration
1,polblogs,BoundaryConnectivity,0.17940389178883276,0
2,polblogs,ClusteringCoefficient,0.2615304019657885,0
3,polblogs,EmbeddingControversy,0.04353476644942211,5
6,polblogs,Modularity,0.4256232042299787,0
9,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737004,0
10,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,3
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.14282961022847296,210
14,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
17,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
18,connected_complete_graphs,ClusteringCoefficient,0.9996666666666668,7
19,connected_complete_graphs,EmbeddingControversy,0.941711500212391,2
22,connected_complete_graphs,Modularity,0.49983280387895,0
25,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
26,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
27,Facebook_Friends_cc,EmbeddingControversy,0.5411756176054869,0
30,Facebook_Friends_cc,Modularity,0.3436300130848828,0
33,gun_control_Twitter_cc,BoundaryConnectivity,0.2469101198175389,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,16
35,gun_control_Twitter_cc,EmbeddingControversy,0.6631076079380847,306
38,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
41,complete_graph_600,BoundaryConnectivity,0.0,0
42,complete_graph_600,ClusteringCoefficient,1.0,17
43,complete_graph_600,EmbeddingControversy,0.0036166015528134032,3
46,complete_graph_600,Modularity,-0.0008347152661844492,0
49,karate,BoundaryConnectivity,0.18828914141414133,0
50,karate,ClusteringCoefficient,0.5683006535947712,0
51,karate,EmbeddingControversy,0.2328194920025116,0
54,karate,Modularity,0.3717948717948718,0
57,karate_easley_groundtruth,BoundaryConnectivity,0.18828914141414133,0
58,karate_easley_groundtruth,ClusteringCoefficient,0.5977124183006536,0
59,karate_easley_groundtruth,EmbeddingControversy,0.4244492285770112,0
62,karate_easley_groundtruth,Modularity,0.3582347140039447,0
65,polblogs_cc,BoundaryConnectivity,0.17016949158578218,0
66,polblogs_cc,ClusteringCoefficient,0.33958178858045723,0
67,polblogs_cc,EmbeddingControversy,0.6323482878108277,3
70,polblogs_cc,Modularity,0.4223763442395829,0
73,Cruzeiro_Atletico_Twitter_cc,BoundaryConnectivity,0.10680046878029974,0
74,Cruzeiro_Atletico_Twitter_cc,ClusteringCoefficient,0.10854715760042166,2
75,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.3151751266539325,224
78,Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362391443,0
81,gun_control_Twitter,BoundaryConnectivity,0.2492635363242629,0
82,gun_control_Twitter,ClusteringCoefficient,0.06658574142925047,15
83,gun_control_Twitter,EmbeddingControversy,0.6499257457383243,313
86,gun_control_Twitter,Modularity,0.4776669328116221,1
89,Facebook_Friends,BoundaryConnectivity,0.10685660114030922,0
90,Facebook_Friends,ClusteringCoefficient,0.5510357852149431,0
91,Facebook_Friends,EmbeddingControversy,0.407901451266916,0
94,Facebook_Friends,Modularity,0.3327028770560748,0
1,polblogs,BoundaryConnectivity,0.17940389178883276,0
2,polblogs,ClusteringCoefficient,0.2615304019657885,0
3,polblogs,EmbeddingControversy,0.035328406470282465,4
6,polblogs,Modularity,0.4256232042299787,0
9,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737004,0
10,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,3
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.14083955971944462,211
14,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
17,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
18,connected_complete_graphs,ClusteringCoefficient,0.9996666666666668,6
19,connected_complete_graphs,EmbeddingControversy,0.9424440051066412,2
22,connected_complete_graphs,Modularity,0.49983280387895,0
25,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
26,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
27,Facebook_Friends_cc,EmbeddingControversy,0.3291435709423857,0
30,Facebook_Friends_cc,Modularity,0.3436300130848828,0
33,gun_control_Twitter_cc,BoundaryConnectivity,0.2469101198175389,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,21
35,gun_control_Twitter_cc,EmbeddingControversy,0.6612378981374049,451
38,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
41,complete_graph_600,BoundaryConnectivity,0.0,0
42,complete_graph_600,ClusteringCoefficient,1.0,17
43,complete_graph_600,EmbeddingControversy,0.005391032360827275,3
46,complete_graph_600,Modularity,-0.0008347152661844492,0
49,karate,BoundaryConnectivity,0.18828914141414133,0
50,karate,ClusteringCoefficient,0.5683006535947712,0
51,karate,EmbeddingControversy,0.4640205877822531,0
54,karate,Modularity,0.3717948717948718,0
57,karate_easley_groundtruth,BoundaryConnectivity,0.18828914141414133,0
58,karate_easley_groundtruth,ClusteringCoefficient,0.5977124183006536,0
59,karate_easley_groundtruth,EmbeddingControversy,0.4267842077127897,0
62,karate_easley_groundtruth,Modularity,0.3582347140039447,0
65,polblogs_cc,BoundaryConnectivity,0.17016949158578218,0
66,polblogs_cc,ClusteringCoefficient,0.33958178858045723,0
67,polblogs_cc,EmbeddingControversy,0.6296885931181867,3
70,polblogs_cc,Modularity,0.4223763442395829,0
73,Cruzeiro_Atletico_Twitter_cc,BoundaryConnectivity,0.10680046878029974,0
74,Cruzeiro_Atletico_Twitter_cc,ClusteringCoefficient,0.10854715760042166,2
75,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.2980003803020552,237
78,Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362391443,0
81,gun_control_Twitter,BoundaryConnectivity,0.2492635363242629,0
82,gun_control_Twitter,ClusteringCoefficient,0.06658574142925047,21
83,gun_control_Twitter,EmbeddingControversy,0.651232804836443,598
86,gun_control_Twitter,Modularity,0.4776669328116221,1
89,Facebook_Friends,BoundaryConnectivity,0.10685660114030922,0
90,Facebook_Friends,ClusteringCoefficient,0.5510357852149431,0
91,Facebook_Friends,EmbeddingControversy,0.4219262444370365,0
94,Facebook_Friends,Modularity,0.3327028770560748,0
1,polblogs,BoundaryConnectivity,0.17940389178883276,0
2,polblogs,ClusteringCoefficient,0.2615304019657885,0
3,polblogs,EmbeddingControversy,0.022131655194227884,4
6,polblogs,Modularity,0.4256232042299787,0
9,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737004,0
10,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,4
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.14077407137771414,402
14,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
17,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
18,connected_complete_graphs,ClusteringCoefficient,0.9996666666666668,7
19,connected_complete_graphs,EmbeddingControversy,0.9419703780634628,2
22,connected_complete_graphs,Modularity,0.49983280387895,0
25,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
26,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
27,Facebook_Friends_cc,EmbeddingControversy,0.44959666106680696,0
30,Facebook_Friends_cc,Modularity,0.3436300130848828,0
33,gun_control_Twitter_cc,BoundaryConnectivity,0.2469101198175389,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,15
